,image,emotion
1278,Magdalena_Maleeva_0001.jpg,4
636,Julie_Taymor_0001.jpg,0
582,Kurt_Warner_0002.jpg,0
399,Ian_Thorpe_0001.jpg,1
116,Mike_Weir_0009.jpg,1
235,Faye_Dunaway_0002.jpg,0
732,Hans_Blix_0023.jpg,1
1369,Dwarakish_17.jpg,5
185,Wayne_Ferreira_0002.jpg,1
575,Larry_Coker_0004.jpg,1
152,Muhammad_Ali_0008.jpg,0
1606,Jayamadhuri_111.jpg,5
1477,Arnaud_Clement_0001.jpg,5
298,George_W_Bush_0104.jpg,1
427,Irina_Yatchenko_0001.jpg,0
1639,Steve_Nash_0003.jpg,2
1713,Jiang_Zemin_0013.jpg,4
145,Guillermo_Coria_0018.jpg,1
118,Jonathan_Fine_0001.jpg,0
267,Steve_Phillips_0001.jpg,1
1309,Gordon_Campbell_0001.jpg,2
1558,Trent_Lott_0014.jpg,4
458,Kate_Hudson_0002.jpg,1
1479,KatrinaKaif_62.jpg,5
1054,Dalai_Lama_0001.jpg,0
109,Fernando_Henrique_Cardoso_0008.jpg,1
672,Amy_Pascal_0001.jpg,0
761,George_Robertson_0016.jpg,1
424,Boris_Becker_0004.jpg,0
368,Sonia_Gandhi_0002.jpg,0
916,Nestor_Kirchner_0026.jpg,0
890,Rudolph_Giuliani_0019.jpg,0
1905,Patrick_Ewing_0001.jpg,2
1711,Hoda_Asfor_0001.jpg,4
536,Michel_Duclos_0001.jpg,1
788,Jonathan_Arden_0001.jpg,1
367,Tom_Daschle_0005.jpg,1
937,Richard_Gere_0004.jpg,1
403,Gerhard_Schroeder_0098.jpg,1
111,Takashi_Sorimachi_0002.jpg,0
2006,Billy_Donovan_0001.jpg,3
1069,John_Howard_0014.jpg,0
1492,Jayamadhuri_120.jpg,5
81,Kamal_Kharrazi_0003.jpg,1
1786,Naomi_Watts_0011.jpg,2
444,Magda_Kertasz_0001.jpg,0
1126,Dwarakish_12.jpg,5
776,Ray_Romano_0009.jpg,0
1629,Dileep_84.jpg,4
970,George_HW_Bush_0001.jpg,1
1137,Alessandra_Cerna_0001.jpg,4
1613,Dwarakish_22.jpg,5
991,Sophie_0001.jpg,0
585,Matthew_During_0001.jpg,1
1431,Bill_Carmody_0001.jpg,2
914,Lucas_Wysocki_0001.jpg,1
2054,Celine_Dion_0008.jpg,3
618,Kevin_Costner_0001.jpg,0
713,Javier_Solana_0008.jpg,0
47,Andre_Agassi_0030.jpg,0
1579,Tom_Coverdale_0001.jpg,3
315,Ricardo_Monasterio_0002.jpg,0
1671,Jayamadhuri_13.jpg,4
1793,Evan_Marriott_0001.jpg,2
115,Peter_Arnett_0001.jpg,1
858,Penny_Dupuie_0001.jpg,1
1743,Jeb_Bush_0008.jpg,2
460,Dwarakish_190.jpg,5
1364,Richard_Cohen_0001.jpg,2
643,Kurt_Suzuki_0001.jpg,3
1062,Matt_Welsh_0001.jpg,0
1996,Jayamadhuri_191.jpg,5
1050,HrithikRoshan_59.jpg,4
1731,Andre_Agassi_0012.jpg,2
563,Bill_Graham_0006.jpg,1
743,Brock_Berlin_0001.jpg,0
877,Gerhard_Schroeder_0013.jpg,1
677,Sylvester_Stallone_0009.jpg,0
912,Mark_Hurlbert_0002.jpg,1
1416,Rubens_Barrichello_0009.jpg,2
1406,Jayamadhuri_74.jpg,4
440,Jason_Alexander_0001.jpg,0
343,Matthew_Broderick_0003.jpg,0
1303,SharmilaTagore_43.jpg,3
1587,Jayamadhuri_195.jpg,4
1933,HrithikRoshan_120.jpg,5
1400,Arnold_Schwarzenegger_0024.jpg,2
2002,Tiger_Woods_0001.jpg,4
1826,Geno_Auriemma_0001.jpg,3
1944,Tom_Jones_0001.jpg,2
1773,Norah_Jones_0010.jpg,2
1166,HrithikRoshan_180.jpg,4
106,James_McGreevey_0001.jpg,1
809,Richard_Myers_0007.jpg,4
1621,Jennifer_Garner_0002.jpg,2
1269,Serena_Williams_0011.jpg,3
272,Guillermo_Coria_0012.jpg,1
2036,George_W_Bush_0503.jpg,3
97,HrithikRoshan_213.jpg,0
449,Condoleezza_Rice_0011.jpg,1
405,Martha_Stewart_0005.jpg,1
735,Mahmoud_Al_Zhar_0001.jpg,1
1655,Jennifer_Capriati_0010.jpg,3
2103,Dwarakish_93.jpg,5
307,JK_Rowling_0004.jpg,0
801,Jayamadhuri_162.jpg,0
1268,Nicolas_Macrozonaris_0001.jpg,2
471,Charles_Moose_0005.jpg,1
8,Hillary_Clinton_0012.jpg,0
400,Bob_Geldof_0001.jpg,1
217,HrithikRoshan_30.jpg,4
1744,Lleyton_Hewitt_0041.jpg,2
230,Oliver_Phelps_0001.jpg,0
1915,KatrinaKaif_78.jpg,5
1926,Beth_Jones_0002.jpg,4
284,Rulon_Gardner_0001.jpg,1
1760,Fabian_Vargas_0001.jpg,2
397,Lleyton_Hewitt_0018.jpg,0
1264,Tony_Blair_0051.jpg,2
113,Kevin_Satterfield_0001.jpg,1
1286,James_Schultz_0001.jpg,4
584,Hugo_Chavez_0013.jpg,0
68,Gerhard_Schroeder_0084.jpg,1
31,Ian_Thorpe_0002.jpg,1
687,Natalie_Maines_0005.jpg,0
345,Richard_Gere_0003.jpg,0
824,Heather_Mills_0001.jpg,0
789,Tiger_Woods_0010.jpg,0
488,Amanda_Plumer_0001.jpg,0
1451,FaridaJalal_39.jpg,5
1907,Dileep_14.jpg,4
1961,Stuart_Knoll_0001.jpg,4
125,Tony_Blair_0003.jpg,0
313,Michael_Chang_0007.jpg,1
1428,Avinash_9.jpg,4
1716,George_W_Bush_0520.jpg,2
1218,HrithikRoshan_116.jpg,5
1083,Bruna_Colosio_0001.jpg,0
435,Jim_Edmonds_0001.jpg,1
299,Angela_Bassett_0001.jpg,0
1281,FaridaJalal_4.jpg,5
2029,Jayamadhuri_94.jpg,4
1473,Pablo_Khulental_0001.jpg,2
1755,Elaine_Stritch_0001.jpg,2
541,Maria_Luisa_Mendonca_0001.jpg,0
704,Jennifer_Garner_0001.jpg,1
1321,Kristen_Breitweiser_0002.jpg,2
1834,Monica_Seles_0005.jpg,3
1835,Marcella_Anderson_0001.jpg,4
390,Carlos_Salinas_0001.jpg,1
275,John_Negroponte_0014.jpg,1
1282,Dawn_Staley_0001.jpg,2
876,Mark_Hanson_0001.jpg,1
1997,James_Blake_0010.jpg,2
1319,Dwarakish_51.jpg,5
855,Andre_Agassi_0005.jpg,1
1117,HrithikRoshan_109.jpg,5
1949,Joe_Strummer_0001.jpg,3
1040,Holly_Hunter_0005.jpg,0
40,Kofi_Annan_0015.jpg,1
157,Mian_Khursheed_Mehmood_Kasuri_0001.jpg,1
2077,Sue_Guevara_0001.jpg,4
1909,Mark_Philippoussis_0002.jpg,5
302,James_Coburn_0001.jpg,1
504,Samuel_Waksal_0004.jpg,1
1851,Jayamadhuri_41.jpg,5
634,Colleen_OClair_0001.jpg,1
614,Olesya_Bonabarenko_0001.jpg,0
1732,Michael_Chang_0008.jpg,4
599,Elizabeth_Hill_0001.jpg,1
450,Carla_Moreno_0001.jpg,0
1567,Jayamadhuri_200.jpg,4
813,Richard_Armitage_0007.jpg,1
149,Hamid_Karzai_0022.jpg,0
852,Rudolph_Giuliani_0007.jpg,1
1867,Xanana_Gusmao_0005.jpg,3
1088,Maria_Shriver_0008.jpg,0
1795,George_W_Bush_0220.jpg,2
1057,Julio_Cesar_Franco_0001.jpg,0
218,Dwarakish_112.jpg,5
935,Hanan_Ashrawi_0002.jpg,0
1693,Jayamadhuri_192.jpg,5
535,Takahiro_Mori_0001.jpg,1
956,Arnaud_Clement_0002.jpg,1
79,Dwarakish_64.jpg,5
1041,Vidar_Helgesen_0001.jpg,0
826,Ian_Gillan_0001.jpg,0
1556,Dwarakish_85.jpg,4
908,HrithikRoshan_89.jpg,1
50,Luis_Sanchez_0001.jpg,4
1373,John_Tyson_0001.jpg,2
2014,George_W_Bush_0511.jpg,2
688,Bobby_Goldwater_0001.jpg,1
1220,HrithikRoshan_124.jpg,5
1953,Yao_Ming_0004.jpg,2
601,Angelina_Jolie_0003.jpg,0
1316,Recep_Tayyip_Erdogan_0018.jpg,3
1108,Jiang_Zemin_0018.jpg,0
1690,Lindsay_Davenport_0012.jpg,3
19,George_W_Bush_0297.jpg,1
1415,Thomas_Scavone_0001.jpg,5
620,Vanessa_Williams_0002.jpg,0
845,HrithikRoshan_192.jpg,0
1525,James_Parker_0002.jpg,2
511,Jose_Theodore_0001.jpg,0
167,Pascal_Quignard_0003.jpg,1
126,Donald_Rumsfeld_0065.jpg,1
1779,Dwarakish_58.jpg,5
1622,George_W_Bush_0356.jpg,2
325,Michael_Jordan_0002.jpg,1
310,JK_Rowling_0006.jpg,0
1197,Steve_Nash_0002.jpg,2
1071,Carlos_Menem_0014.jpg,0
1084,Hugo_Chavez_0053.jpg,0
1539,HrithikRoshan_122.jpg,5
1981,Barry_Alvarez_0001.jpg,2
1256,Herb_Dhaliwal_0001.jpg,2
933,Gisele_Bundchen_0002.jpg,0
93,Dan_Morales_0001.jpg,0
490,Ted_Maher_0002.jpg,1
1966,Dwarakish_153.jpg,5
1461,Dwarakish_181.jpg,5
1918,Dwarakish_87.jpg,4
1642,Dwarakish_122.jpg,5
1275,Jennifer_Capriati_0001.jpg,3
857,Sean_Combs_0001.jpg,1
639,Mary_Robinson_0001.jpg,1
1983,Jennifer_Capriati_0030.jpg,3
462,Jack_Straw_0019.jpg,1
136,Paul_Tagliabue_0004.jpg,1
1763,Dwarakish_128.jpg,5
371,Zhu_Rongji_0008.jpg,0
767,Dana_Vollmer_0001.jpg,1
16,Ernie_Els_0004.jpg,0
1741,Dwarakish_179.jpg,5
693,Keith_Lockhart_0001.jpg,0
1825,Jayamadhuri_90.jpg,4
1213,Jayamadhuri_174.jpg,4
523,George_W_Bush_0219.jpg,1
287,Alexander_Downer_0004.jpg,0
15,Mike_Farrar_0001.jpg,1
957,Fidel_Castro_0011.jpg,1
1160,Dwarakish_74.jpg,4
1751,Jennifer_Capriati_0026.jpg,3
349,George_W_Bush_0494.jpg,0
568,Chris_Claiborne_0001.jpg,0
1246,Dwarakish_95.jpg,5
854,Gaston_Gaudio_0001.jpg,1
2040,Bill_Simon_0014.jpg,2
413,Filippo_Inzaghi_0001.jpg,3
499,Mike_Myers_0006.jpg,1
412,Brad_Wilk_0001.jpg,0
1936,Herb_Sendek_0002.jpg,2
258,James_Hoffa_0001.jpg,0
282,Ann_Veneman_0004.jpg,0
1906,Richard_Gephardt_0008.jpg,2
1978,Jayamadhuri_194.jpg,5
856,Joe_Lieberman_0013.jpg,1
1,Pete_Sampras_0011.jpg,1
716,Gerhard_Schroeder_0077.jpg,0
1963,Dwarakish_36.jpg,5
2063,Guillermo_Coria_0030.jpg,4
9,Andre_Lange_0001.jpg,1
1636,Jayamadhuri_170.jpg,4
320,Mark_Heller_0002.jpg,1
1030,Gerhard_Schroeder_0004.jpg,0
2008,John_Hartson_0001.jpg,3
206,Perry_Gibbs_0001.jpg,1
1715,Tom_Ridge_0005.jpg,3
1823,FaridaJalal_48.jpg,3
644,Blythe_Hartley_0002.jpg,0
1821,Paradorn_Srichaphan_0009.jpg,2
1959,Jeremy_Wotherspoon_0001.jpg,2
2035,Nathan_Doudney_0001.jpg,3
421,Jack_Nicholson_0001.jpg,0
1638,Mike_Samp_0001.jpg,3
612,Augustin_Calleri_0001.jpg,1
570,Dwarakish_178.jpg,5
1102,Colin_Powell_0013.jpg,0
907,SharmilaTagore_9.jpg,0
431,Bernard_Kerik_0001.jpg,0
2053,Ricky_Quick_0001.jpg,2
944,Colin_Powell_0199.jpg,1
194,George_W_Bush_0188.jpg,0
1092,Silvio_Fernandez_0001.jpg,2
183,Ian_McKellen_0001.jpg,0
835,Victoria_Clarke_0001.jpg,1
270,Susan_Collins_0001.jpg,1
2034,Valerie_Thwaites_0001.jpg,3
880,Gordon_Brown_0002.jpg,0
39,Emma_Watson_0005.jpg,0
1011,Donald_Rumsfeld_0028.jpg,0
309,Heizo_Takenaka_0006.jpg,1
1217,Jayamadhuri_201.jpg,4
1101,Serena_Williams_0045.jpg,0
1009,Maria_Conchita_Alonso_0001.jpg,0
1061,Gloria_Macapagal_Arroyo_0037.jpg,0
987,Gregg_Popovich_0005.jpg,2
1854,Charles_Moose_0002.jpg,3
249,Anna_Kournikova_0011.jpg,4
670,Ben_Chandler_0001.jpg,0
1537,Gregg_Popovich_0001.jpg,2
2031,Kim_Clijsters_0010.jpg,3
891,JK_Rowling_0002.jpg,0
822,George_W_Bush_0111.jpg,1
1541,George_W_Bush_0510.jpg,3
20,Ruben_Studdard_0002.jpg,0
1231,Jayamadhuri_193.jpg,5
1893,Colin_Powell_0149.jpg,3
1035,Andre_Agassi_0014.jpg,4
515,Robert_Schuller_0001.jpg,0
334,Tom_Curley_0001.jpg,1
2078,Paradorn_Srichaphan_0002.jpg,2
1684,James_Carville_0001.jpg,3
1034,SharmilaTagore_37.jpg,0
733,Prince_Naruhito_0001.jpg,0
1652,Dwarakish_19.jpg,5
378,Luke_Smith_0001.jpg,1
184,Julie_Gerberding_0015.jpg,2
1374,FaridaJalal_74.jpg,4
1617,Dileep_83.jpg,4
173,Agnelo_Queiroz_0001.jpg,1
646,Katie_Wagner_0001.jpg,0
1916,Dileep_106.jpg,4
2094,Tatiana_Panova_0001.jpg,4
1178,Jennifer_Capriati_0027.jpg,3
1846,Dileep_97.jpg,4
2120,Guillermo_Coria_0006.jpg,2
37,Ariel_Sharon_0061.jpg,0
1832,Juan_Ignacio_Chela_0002.jpg,2
362,Dwarakish_158.jpg,5
1588,Bill_Self_0001.jpg,2
823,Serena_Williams_0014.jpg,0
762,Yannos_Papantoniou_0001.jpg,0
1597,Dileep_87.jpg,3
1365,Colin_Powell_0007.jpg,3
1458,Wang_Hailan_0001.jpg,4
892,Brandon_Boyd_0001.jpg,0
1847,Svetislav_Pesic_0001.jpg,2
1024,Dwarakish_174.jpg,5
1526,Leonard_Hamilton_0002.jpg,3
461,Pete_Sampras_0009.jpg,0
1675,Lindsay_Davenport_0007.jpg,4
1355,John_Ashcroft_0030.jpg,3
1467,Jayamadhuri_158.jpg,5
1229,FaridaJalal_88.jpg,4
1954,Jan_Ullrich_0004.jpg,3
1649,LK_Advani_0003.jpg,2
1469,HrithikRoshan_189.jpg,2
671,David_Wells_0003.jpg,1
1391,Jayamadhuri_32.jpg,5
1039,Steve_Waugh_0001.jpg,0
1627,Marat_Safin_0002.jpg,3
1570,George_W_Bush_0012.jpg,2
122,Yukiko_Okudo_0002.jpg,1
1787,Doug_Collins_0002.jpg,3
1843,Dwarakish_141.jpg,5
1573,HrithikRoshan_32.jpg,4
741,Gavyn_Arthur_0001.jpg,0
1381,Dileep_80.jpg,4
1455,Dwarakish_67.jpg,5
2042,Martha_Lucia_Ramirez_0002.jpg,2
33,Leon_LaPorte_0001.jpg,1
1463,Lindsay_Davenport_0019.jpg,3
1754,Dwarakish_121.jpg,5
1154,Stephen_Arigbabu_0001.jpg,5
730,Robert_DeFraites_0001.jpg,1
239,HrithikRoshan_17.jpg,0
1199,Anette_Hosoi_0001.jpg,4
1902,Mike_Krzyzewski_0002.jpg,3
1528,Nelson_Mandela_0002.jpg,4
2050,Simon_Larose_0001.jpg,2
1310,John_Edwards_0007.jpg,4
1747,Jayamadhuri_172.jpg,4
1955,Dwarakish_68.jpg,5
